sentence_id,token_position,token,label,entity_type
0,0,'phags,B-AUTO,AUTO
0,1,pa,I-AUTO,AUTO
0,2,'jam,I-AUTO,AUTO
0,3,dpal,I-AUTO,AUTO
0,4,gyi,I-AUTO,AUTO
0,5,mtshan,I-AUTO,AUTO
0,6,yang,I-AUTO,AUTO
0,7,dag,I-AUTO,AUTO
0,8,par,I-AUTO,AUTO
0,9,brjod,I-AUTO,AUTO
0,10,pa,I-AUTO,AUTO
0,11,zhes,I-AUTO,AUTO
0,12,bya,I-AUTO,AUTO
0,13,ba,I-AUTO,AUTO
0,14,la/,I-AUTO,AUTO
0,15,'phags,I-AUTO,AUTO
0,16,pa,I-AUTO,AUTO
0,17,'jam,I-AUTO,AUTO
0,18,dpal,I-AUTO,AUTO
0,19,zhes,I-AUTO,AUTO
0,20,bya,I-AUTO,AUTO
0,21,ba,I-AUTO,AUTO
0,22,ni/,I-AUTO,AUTO
0,23,rang,I-AUTO,AUTO
0,24,gi,I-AUTO,AUTO
0,25,ngo,I-AUTO,AUTO
0,26,bo,I-AUTO,AUTO
0,27,ji,I-AUTO,AUTO
0,28,lta,I-AUTO,AUTO
0,29,bu,I-AUTO,AUTO
0,30,zhig//,I-AUTO,AUTO
1,0,de'i,I-AUTO,AUTO
1,1,mtshan,I-AUTO,AUTO
1,2,ni,I-AUTO,AUTO
1,3,gang,I-AUTO,AUTO
1,4,dag,I-AUTO,AUTO
1,5,gang,I-AUTO,AUTO
1,6,rnams,I-AUTO,AUTO
1,7,yin/,I-AUTO,AUTO
1,8,de,I-AUTO,AUTO
1,9,yang,I-AUTO,AUTO
1,10,dag,I-AUTO,AUTO
1,11,par,I-AUTO,AUTO
1,12,brjod,I-AUTO,AUTO
1,13,pa,I-AUTO,AUTO
1,14,ni,I-AUTO,AUTO
1,15,ji,I-AUTO,AUTO
1,16,ltar,I-AUTO,AUTO
1,17,brjod,I-AUTO,AUTO
1,18,ce,I-AUTO,AUTO
1,19,na/,I-AUTO,AUTO
1,20,de,I-AUTO,AUTO
1,21,la,I-AUTO,AUTO
1,22,'phags,I-AUTO,AUTO
1,23,pa,I-AUTO,AUTO
1,24,'jam,I-AUTO,AUTO
1,25,dpal,I-AUTO,AUTO
1,26,ni/,I-AUTO,AUTO
1,27,gnyis,I-AUTO,AUTO
1,28,su,I-AUTO,AUTO
1,29,med,I-AUTO,AUTO
1,30,pa'i,I-AUTO,AUTO
1,31,ye,I-AUTO,AUTO
1,32,shes,I-AUTO,AUTO
1,33,te/,I-AUTO,AUTO
1,34,de,I-AUTO,AUTO
1,35,ni,I-AUTO,AUTO
1,36,dus,I-AUTO,AUTO
