token_id,token,label
0,'phags,B-AUTO
1,pa,I-AUTO
2,'jam,I-AUTO
3,dpal,I-AUTO
4,gyi,I-AUTO
5,mtshan,I-AUTO
6,yang,I-AUTO
7,dag,I-AUTO
8,par,I-AUTO
9,brjod,I-AUTO
10,pa,I-AUTO
11,zhes,I-AUTO
12,bya,I-AUTO
13,ba,I-AUTO
14,la/,I-AUTO
15,'phags,I-AUTO
16,pa,I-AUTO
17,'jam,I-AUTO
18,dpal,I-AUTO
19,zhes,I-AUTO
20,bya,I-AUTO
21,ba,I-AUTO
22,ni/,I-AUTO
23,rang,I-AUTO
24,gi,I-AUTO
25,ngo,I-AUTO
26,bo,I-AUTO
27,ji,I-AUTO
28,lta,I-AUTO
29,bu,I-AUTO
30,zhig//,I-AUTO
31,de'i,I-AUTO
32,mtshan,I-AUTO
33,ni,I-AUTO
34,gang,I-AUTO
35,dag,I-AUTO
36,gang,I-AUTO
37,rnams,I-AUTO
38,yin/,I-AUTO
39,de,I-AUTO
40,yang,I-AUTO
41,dag,I-AUTO
42,par,I-AUTO
43,brjod,I-AUTO
44,pa,I-AUTO
45,ni,I-AUTO
46,ji,I-AUTO
47,ltar,I-AUTO
48,brjod,I-AUTO
49,ce,I-AUTO
50,na/,I-AUTO
51,de,I-AUTO
52,la,I-AUTO
53,'phags,I-AUTO
54,pa,I-AUTO
55,'jam,I-AUTO
56,dpal,I-AUTO
57,ni/,I-AUTO
58,gnyis,I-AUTO
59,su,I-AUTO
60,med,I-AUTO
61,pa'i,I-AUTO
62,ye,I-AUTO
63,shes,I-AUTO
64,te/,I-AUTO
65,de,I-AUTO
66,ni,I-AUTO
67,dus,I-AUTO
68,gsum,I-AUTO
69,gyi,I-AUTO
70,sang,I-AUTO
71,rgyas,I-AUTO
72,thams,I-AUTO
73,cad,I-AUTO
74,kyi,I-AUTO
75,ye,I-AUTO
76,shes,I-AUTO
77,kyi,I-AUTO
78,bdag,I-AUTO
79,nyid/,I-AUTO
80,byang,I-AUTO
81,chub,I-AUTO
82,kyi,I-AUTO
83,sems,I-AUTO
84,kyi,I-AUTO
85,ngo,I-AUTO
86,bo//,I-AUTO
87,chos,I-AUTO
88,thams,I-AUTO
89,cad,I-AUTO
90,kyi,I-AUTO
91,chos,I-AUTO
92,nyid,I-AUTO
93,dang,I-AUTO
94,tha,I-AUTO
95,mi,I-AUTO
96,dad,I-AUTO
97,pa,I-AUTO
98,yin,I-AUTO
99,te/,I-AUTO
100,de'i,I-AUTO
101,dbang,I-AUTO
102,gis,I-AUTO
103,snang,I-AUTO
104,ba'i,I-AUTO
105,gzugs,I-AUTO
106,kyi,I-AUTO
107,sku/,I-AUTO
108,longs,I-AUTO
109,spyod,I-AUTO
110,rdzogs,I-AUTO
111,pa,I-AUTO
112,dang,I-AUTO
113,sprul,I-AUTO
114,pa'i,I-AUTO
115,bdag,I-AUTO
116,nyid,I-AUTO
117,can,I-AUTO
118,ye,I-AUTO
119,shes,I-AUTO
120,kyi,I-AUTO
121,rten,I-AUTO
122,du,I-AUTO
123,snang,I-AUTO
124,ba/,I-AUTO
125,sangs,I-AUTO
126,rgyas,I-AUTO
127,dang,I-AUTO
128,byang,I-AUTO
129,chub,I-AUTO
130,sems,I-AUTO
131,dpa'i,I-AUTO
132,gzugs,I-AUTO
133,rnams,I-AUTO
134,su,I-AUTO
135,theg,I-AUTO
136,pa,I-AUTO
137,che,I-AUTO
138,chung,I-AUTO
139,gi,I-AUTO
140,tshul,I-AUTO
141,na,I-AUTO
142,tshogs,I-AUTO
143,las,I-AUTO
144,grags,I-AUTO
145,par,I-AUTO
146,snang,I-AUTO
147,ba'i,I-AUTO
148,bdag,I-AUTO
149,nyid,I-AUTO
150,de,I-AUTO
151,rnams,I-AUTO
152,kyang,I-AUTO
153,'phags,I-AUTO
154,pa,I-AUTO
155,'jam,I-AUTO
156,dpal,I-AUTO
157,zhes,I-AUTO
158,'dod,I-AUTO
159,do//,I-AUTO
160,'dir,I-AUTO
161,dris,I-AUTO
162,pa/,I-AUTO
163,sangs,I-AUTO
164,rgyas,I-AUTO
165,thams,I-AUTO
166,cad,I-AUTO
167,kyi,I-AUTO
168,gnyis,I-AUTO
169,su,I-AUTO
170,med,I-AUTO
171,pa'i,I-AUTO
172,ye,I-AUTO
173,shes,I-AUTO
174,kyi/,I-AUTO
175,bdag,I-AUTO
176,nyid,I-AUTO
177,'phags,I-AUTO
178,pa,I-AUTO
179,'jam,I-AUTO
180,dpal,I-AUTO
181,yin,I-AUTO
182,na/,I-AUTO
183,phyogs,I-AUTO
184,bcu,I-AUTO
185,dus,I-AUTO
186,gsum,I-AUTO
187,gyi,I-AUTO
188,sangs,I-AUTO
189,rgyas,I-AUTO
190,rnams,I-AUTO
191,kyi,I-AUTO
192,so,I-AUTO
193,so,I-AUTO
194,rang,I-AUTO
195,gis,I-AUTO
196,rig,I-AUTO
197,pa'i,I-AUTO
198,ye,I-AUTO
199,shes,I-AUTO
200,rnams,I-AUTO
201,chos,I-AUTO
202,can,I-AUTO
203,gcig,I-AUTO
204,gam,I-AUTO
205,tha,I-AUTO
206,dad,I-AUTO
207,pa,I-AUTO
208,zhig,I-AUTO
209,yin/,I-AUTO
