token_index,token,label,is_switch_point,switch_to,iob_label
0,'phags,auto,False,,B-auto
1,pa,auto,False,,I-auto
2,'jam,auto,False,,I-auto
3,dpal,auto,False,,I-auto
4,gyi,auto,False,,I-auto
5,mtshan,auto,False,,I-auto
6,yang,auto,False,,I-auto
7,dag,auto,False,,I-auto
8,par,auto,False,,I-auto
9,brjod,auto,False,,I-auto
10,pa,auto,False,,I-auto
11,zhes,auto,False,,I-auto
12,bya,auto,False,,I-auto
13,ba,auto,False,,I-auto
14,la,auto,False,,I-auto
15,/,auto,False,,I-auto
16,'phags,auto,False,,I-auto
17,pa,auto,False,,I-auto
18,'jam,auto,False,,I-auto
19,dpal,auto,False,,I-auto
20,zhes,auto,False,,I-auto
21,bya,auto,False,,I-auto
22,ba,auto,False,,I-auto
23,ni,auto,False,,I-auto
24,/,auto,False,,I-auto
25,rang,auto,False,,I-auto
26,gi,auto,False,,I-auto
27,ngo,auto,False,,I-auto
28,bo,auto,False,,I-auto
29,ji,auto,False,,I-auto
30,lta,auto,False,,I-auto
31,bu,auto,False,,I-auto
32,zhig,auto,False,,I-auto
33,/,auto,False,,I-auto
34,/,auto,False,,I-auto
35,de'i,auto,False,,I-auto
36,mtshan,auto,False,,I-auto
37,ni,auto,False,,I-auto
38,gang,auto,False,,I-auto
39,dag,auto,False,,I-auto
40,gang,auto,False,,I-auto
41,rnams,auto,False,,I-auto
42,yin,auto,False,,I-auto
43,/,auto,False,,I-auto
44,de,auto,False,,I-auto
45,yang,auto,False,,I-auto
46,dag,auto,False,,I-auto
47,par,auto,False,,I-auto
48,brjod,auto,False,,I-auto
49,pa,auto,False,,I-auto
50,ni,auto,False,,I-auto
51,ji,auto,False,,I-auto
52,ltar,auto,False,,I-auto
53,brjod,auto,False,,I-auto
54,ce,auto,False,,I-auto
55,na,auto,False,,I-auto
56,/,auto,False,,I-auto
57,de,auto,False,,I-auto
58,la,auto,False,,I-auto
59,'phags,auto,False,,I-auto
60,pa,auto,False,,I-auto
61,'jam,auto,False,,I-auto
62,dpal,auto,False,,I-auto
63,ni,auto,False,,I-auto
64,/,auto,False,,I-auto
65,gnyis,auto,False,,I-auto
66,su,auto,False,,I-auto
67,med,auto,False,,I-auto
68,pa'i,auto,False,,I-auto
69,ye,auto,False,,I-auto
70,shes,auto,False,,I-auto
71,te,auto,False,,I-auto
72,/,auto,False,,I-auto
73,de,auto,False,,I-auto
74,ni,auto,False,,I-auto
75,dus,auto,False,,I-auto
76,gsum,auto,False,,I-auto
77,gyi,auto,False,,I-auto
78,sang,auto,False,,I-auto
79,rgyas,auto,False,,I-auto
80,thams,auto,False,,I-auto
81,cad,auto,False,,I-auto
82,kyi,auto,False,,I-auto
83,ye,auto,False,,I-auto
84,shes,auto,False,,I-auto
85,kyi,auto,False,,I-auto
86,bdag,auto,False,,I-auto
87,nyid,auto,False,,I-auto
88,/,auto,False,,I-auto
89,byang,auto,False,,I-auto
90,chub,auto,False,,I-auto
91,kyi,auto,False,,I-auto
92,sems,auto,False,,I-auto
93,kyi,auto,False,,I-auto
94,ngo,auto,False,,I-auto
95,bo,auto,False,,I-auto
96,/,auto,False,,I-auto
97,/,auto,False,,I-auto
98,chos,auto,False,,I-auto
99,thams,auto,False,,I-auto
100,cad,auto,False,,I-auto
101,kyi,auto,False,,I-auto
102,chos,auto,False,,I-auto
103,nyid,auto,False,,I-auto
104,dang,auto,False,,I-auto
105,tha,auto,False,,I-auto
106,mi,auto,False,,I-auto
107,dad,auto,False,,I-auto
108,pa,auto,False,,I-auto
109,yin,auto,False,,I-auto
110,te,auto,False,,I-auto
111,/,auto,False,,I-auto
112,de'i,auto,False,,I-auto
113,dbang,auto,False,,I-auto
114,gis,auto,False,,I-auto
115,snang,auto,False,,I-auto
116,ba'i,auto,False,,I-auto
117,gzugs,auto,False,,I-auto
118,kyi,auto,False,,I-auto
119,sku,auto,False,,I-auto
120,/,auto,False,,I-auto
121,longs,auto,False,,I-auto
122,spyod,auto,False,,I-auto
123,rdzogs,auto,False,,I-auto
124,pa,auto,False,,I-auto
125,dang,auto,False,,I-auto
126,sprul,auto,False,,I-auto
127,pa'i,auto,False,,I-auto
128,bdag,auto,False,,I-auto
129,nyid,auto,False,,I-auto
130,can,auto,False,,I-auto
131,ye,auto,False,,I-auto
132,shes,auto,False,,I-auto
