Segment_ID,Mode,Text,Word_Count
0,auto,rgya gar skad du/ sarba ta thA ga tA \u0f85 sha ya kro d+ha sa ma dza su ga ta sA mA n+yo d+ba da na ke sha lo hi ta tan+t+ra nA ma/ bod skad du// de bzhin gshegs pa thams cad kyi dgongs pa khro bo 'dus pa/ bde gshegs spyi dril rta mgrin rngog ma le brgan gyi rgyud ces bya ba dpal pad+ma dbang chen bde gshegs spyi dril la phyag 'tshal lo// 'di skad bdag gis thos pa'i dus gcig na// ye shes rig pa rang snang gi ston pa de nyid// gdul bya'i ngo snang la tha dad par snang ba las// dpal pad+ma dbang byed du snang bar mdzad nas// shes bya rang snang gi gnas nas gdul bya dngos snang gi gnas tha dad par snang ba las/ shes bya rang snang gi 'khor dang// gdul bya ngo snang gi 'khor mang pos kyang yongs su bskor// shes bya rang snang gi bstan pa nang du bstan pa rdzogs nas// gdul bya'i ngor snang ba'i bstan pa nam mkha'i mtha' la/ chos nyid kyi dgongs pa'i khyad par la longs spyod cing bzhugs so// de'i tshe de'i dus na/ chos can mtshan ma'i dngos po dang// chos nyid skye ba med pa so so ma yin tha mi dad dbyer med na yang// don dam par ni chos thams cad stong gsal nam mkha' lta bu la sems nyid lhan cig skyes pa'i ye shes dri ma med par rang bzhin gyis 'od gsal ba yang/ kun rdzob tu chos thams cad dngos po dang mtshan mar snang ste// de dag kun kyang gsog lta bu/ gsob lta bu/ ya ma brla lta bu/ snying po med pa lta bur shar ba las/ cir yang ma yin pa'i chos nyid ni/ cir yang snang du btub la/ cir yang snang ba'i chos nyid ni/ cir yang 'gyur tu btub la/ cir yang 'gyur ba'i chos nyid ni/ cir yang bsgrub tu btubs la// cir yang bsgrub tub tub pa'i chos nyid ni// cir yang grub par gzigs so// de yang 'khor ba dang mya ngan las 'das pa'i chos thams cad gtan la dbab par bya na rigs pa rnam pa bzhir gzigs so// spyir rten cing 'brel te 'byung ba'i mtshan nyid la// ngo bo nyid kyi sgo nas sgrub par byed pa ni// chos nyid kyi rig pa dang/ 'bras bu'i sgo nas sgrub par byed pa ni bya ba byed pa'i rigs pa dang// rgyu'i sgo nas sgrub par byed pa ni ltos pa'i rigs pa dang// rigs pa nyid dri ma med par byas te sgrub pa ni 'thad pa bsgrub pa'i rigs pa bzhir gzigs so// 'di rnams kyi sel ba rnam pa bzhir gzigs so// ngo bo nyid la the tshom za ba ni chos nyid kyi rigs pas sel lo// byed pa la the tsom za ba ni bya ba byed pa'i rigs pas sel lo// mngon par sgrub pa ni the tshom za ba ni ltos pa'i rig pas sel lo// rigs pa la the tshom za ba ni 'thad pa bsgrub pa'i rigs pas sel lo// 'di rnams kyi yul dang mtshan la gzigs pa ni/ chos nyid kyi dngos gzhi la dri ma med cing// dngos bzhi ma log na chos nyid kyi rigs par gzhag go/ byed pa la dri ma med cing dngos gzhi ma log na bya ba byed pa'i rigs par gzhag go/ dngos por bsgrub pa'i dri ma med cing dngos gzhi ma log na ltos pa'i rigs par gzhag go/ rigs pa'i dngos gzhi la dri ma med cing dngos gzhi ma log na 'thad par bsgrub pa'i rigs par gzhag go/ de la chos nyid kyi dngos gzhi la dri ma yod pa ni/ me shel la tsha ba'i reg pa yod pa lta bu'o// de la dngos gzhi log pa ni/ ri dwags me'i gtsang spra can la me tsha ba'i dngos gzhi log pa lta bu'o// bya ba byed pa'i dngos gzhi la dri ma yod pa ni btsan dug gis sems can 'chi ba lta bu'o// de la dngos gzhi log pa ni rma bya lta bu'o// ltos pa'i dngos gzhi la/ dri ma yod pa ni blo dman pa'i sa bon ma go ba'o// de la dngos gzhi log pa ni sa bon skye ba'i bas la mkhas pa lta bu'o// 'thad pa bsgrub pa'i dngos gzhi dri ma yod pa ni chos spyi dang rang gi mtshan nyid la rmongs pa'o// de la dngos gzhi log pa ni/ so sor rtog pa'i shes rab kyis dpyad pas mi dmigs pa'i shes rab tu gyur pa kho na'o// rigs pa 'di bzhi thal ba la gzigs pa ni// chos nyid kyi rigs pa sgrub pa thal drags na/ dngos po thams cad las mi ldog ste/ mtha' rang bzhin rgyur lta bar 'gyur ro// bya ba byed pa'i rigs pa thal drags na// byed pa po dang rtsod pa po thams cad las mi rdog ste/ mtha' byed pa po rgyur smra bar 'gyur ro// ltos pa'i rigs pa thal drags na/ dbang thams cad las mi ldog ste/ mtha' dbang,860
1,auto,phyug rgyur smra bar 'gyur,5
5,allo,ro// 'thad pa bsgrub pa'i rigs pa thal drags na/,10
6,auto,rigs pa gnas skabs thams cad du dri ma med par mi 'gyur te/ mthar mngon pa'i nga rgyal tu 'gyur ro// 'di rnams gzhi'i sgrub byed la gzigs so// dngos por smra ba rnams dngos por bsgrub na// chos nyid kyi rigs pas lta ba,46
15,allo,bsgrub ste// 'du shes kyi byad par,7
16,auto,du byas pa'i blos dmigs pa dang/ tshor bas khyad,10
17,allo,par du byas pa'i blo la snang ba dang/ shes rab dri ma med pa'i khyad par du byas pa'i blos rtogs,22
20,auto,pa'o// de yang so sor rtogs pa'i shes rab dang/ rnam par mi rtog pa'i shes rab bo// bya ba byed pa'i rigs pa ni// mtshan bcas bskyed pa'i r-im pa dang/ mtshan med rdzogs pa'i rim pa dang/ sa dang lam dang 'bras bu'i bya ba byed do// ltos pa'i rigs pas ni sa las dge sdig la ltos pas 'bras bu mthong ris ngan song bsgrub pa dang// bsod nams ye shes kyi tshogs la ltos pas chos sku dang zugs sku bsgrub pa'o// 'thad pa bsgrub pa'i rigs pa ni mngon sum dang// rjes su dpag pas/ chos thams cad gtan 'bebs par bsgrub pa ni/ rang gzhung bsgrub pa dang/ gzhan gzhung dgag pa'o// de yang yod par bsgrub pa dang/ yin par bsgrub pas chad pa sel te/ med pa dgag pa dang ma yin pa dgag pas rtag pa sel lo// mtha' thams cad las grol ba'i chos nyid rnam par dag pa la gzigs nas cang mi gsung/ rnam par mi gsung/ yongs su mi gsung bar bzhugs so// de'i tshe yum ral gcig mas bcom ldan 'das kyi zhal du bltas nas/ 'di skad ces gsol te/ 'jig rten sa dang lam gnas pa'i// blo rtog dpyad pas ma 'ongs pa'i// de bzhin nyid kyi ye shes ni// lus ngag yid las bya dang bral// tshogs gnyis bsags las ma byung ba'i// sems nyid rnal ma'i don 'di ni// kun gyis rtogs par dka' bas na// dbang chen bde gshegs 'dus pa 'dir// 'jig rten dregs pa dbang bsdus nas// bya ba byed pa'i las la 'khod// sangs rgyas bstan pa dar byas nas// dkon mchog gsum,275
21,allo,lam kun spyod pas// 'khor ba 'das par sbyor ba'o// ltos pa chos kyi las can 'bras// sangs rgyas mdzad pa kun bsgrub nas// dri med mngon par kun sangs rgyas// 'khor 'das kun gyi rtog bya ba'i// sems nyid 'og gsal rtsa ba can/ dngos grub log rtog gang las skyes// dug lnga ji ltar lam du blang// dbang chen spyi dril bsgom,64
28,auto,pa dang// lha yi,4
