Segment_ID,Mode,Text,Word_Count
0,auto,rgya gar skad du/ sarba ta thA ga tA \u0f85 sha ya kro d+ha sa ma dza su ga ta sA mA n+yo d+ba da na ke sha lo hi ta tan+t+ra nA ma/ bod skad du// de bzhin gshegs pa thams cad kyi dgongs pa khro bo 'dus pa/ bde gshegs spyi dril rta mgrin rngog ma le brgan gyi rgyud ces bya ba dpal pad+ma dbang chen bde gshegs spyi dril la phyag 'tshal lo// 'di skad bdag gis thos pa'i dus gcig na// ye shes rig pa rang snang gi ston pa de nyid// gdul bya'i ngo snang la tha dad par snang ba las// dpal pad+ma dbang byed du snang bar mdzad nas// shes bya rang snang gi gnas nas gdul bya dngos snang gi gnas tha dad par snang ba las/ shes bya rang snang gi 'khor dang// gdul bya ngo snang gi 'khor mang pos kyang yongs su bskor// shes bya rang snang gi bstan pa nang du bstan pa rdzogs nas// gdul bya'i ngor snang ba'i bstan pa nam mkha'i mtha' la/ chos nyid kyi dgongs pa'i khyad par la longs spyod cing bzhugs so// de'i tshe de'i dus na/ chos can mtshan ma'i dngos po dang// chos nyid skye ba med pa so so ma yin tha mi dad dbyer med na yang// don dam par ni chos thams cad stong gsal nam mkha' lta bu la sems nyid lhan cig skyes pa'i ye shes dri ma med par rang bzhin gyis 'od gsal ba yang/ kun rdzob tu chos thams cad dngos po dang mtshan mar snang ste// de dag kun kyang gsog lta bu/ gsob lta bu/ ya ma brla lta bu/ snying po med pa lta bur shar ba las/ cir yang ma yin pa'i chos nyid ni/ cir yang snang du btub la/ cir yang snang ba'i chos nyid ni/ cir yang 'gyur tu btub la/ cir yang 'gyur ba'i chos nyid ni/ cir yang bsgrub tu btubs la// cir yang bsgrub tub tub pa'i chos nyid ni// cir yang grub par gzigs so// de yang 'khor ba dang mya ngan las 'das pa'i chos thams cad gtan la dbab par bya na rigs pa rnam pa bzhir gzigs so// spyir rten cing 'brel te 'byung ba'i mtshan nyid la// ngo bo nyid kyi sgo nas sgrub par byed pa ni// chos nyid kyi rig pa dang/ 'bras bu'i sgo nas sgrub par byed pa ni bya ba byed pa'i rigs pa dang// rgyu'i sgo nas sgrub par byed pa ni ltos pa'i rigs pa dang// rigs pa nyid dri ma med par byas te sgrub pa ni 'thad pa bsgrub pa'i rigs pa bzhir gzigs so// 'di rnams kyi sel ba rnam pa bzhir gzigs so// ngo bo nyid la the tshom za ba ni chos nyid kyi rigs pas sel lo// byed pa la the tsom za ba ni bya ba byed pa'i rigs pas sel lo// mngon par sgrub pa ni the tshom za ba ni ltos pa'i rig pas sel lo// rigs pa la the tshom za ba ni 'thad pa bsgrub pa'i rigs pas sel lo// 'di rnams kyi yul dang mtshan la gzigs pa ni/ chos nyid kyi dngos gzhi la dri ma med cing// dngos bzhi ma log na chos nyid kyi rigs par gzhag go/ byed pa la dri ma med cing dngos gzhi ma log na bya ba byed pa'i rigs par gzhag go/ dngos por bsgrub pa'i dri ma med cing dngos gzhi ma log na ltos pa'i rigs par gzhag go/ rigs pa'i dngos gzhi la dri ma med cing dngos gzhi ma log na 'thad par bsgrub pa'i rigs par gzhag go/ de la chos nyid kyi dngos gzhi la dri ma yod pa ni/ me shel la tsha ba'i reg pa yod pa lta bu'o// de la dngos gzhi log pa ni/ ri dwags me'i gtsang spra can la me tsha ba'i dngos gzhi log pa lta bu'o// bya ba byed pa'i dngos gzhi la dri ma yod pa ni btsan dug gis sems can 'chi ba lta bu'o// de la dngos gzhi log pa ni rma bya lta bu'o// ltos pa'i dngos gzhi la/ dri ma yod pa ni blo dman pa'i sa bon ma go ba'o// de la dngos gzhi log pa ni sa bon skye ba'i bas la mkhas pa lta bu'o// 'thad pa bsgrub pa'i dngos gzhi dri ma yod pa ni chos spyi dang rang gi mtshan nyid la rmongs pa'o// de la dngos gzhi log pa ni/ so sor rtog pa'i shes rab kyis dpyad pas mi dmigs pa'i shes rab tu gyur pa kho na'o// rigs pa 'di bzhi thal ba la gzigs pa ni// chos nyid kyi rigs pa sgrub pa thal drags na/ dngos po thams cad las mi ldog ste/ mtha' rang bzhin rgyur lta bar 'gyur ro// bya ba byed pa'i rigs pa thal drags na// byed pa po dang rtsod pa po thams cad las mi rdog ste/ mtha' byed pa po rgyur smra bar 'gyur ro// ltos pa'i rigs pa thal drags na/ dbang thams cad las mi ldog ste/ mtha' dbang,860
1,allo,phyug,1
2,auto,rgyur,1
3,allo,smra,1
4,auto,bar 'gyur,2
5,allo,ro// 'thad pa bsgrub pa'i rigs pa thal drags na/,10
6,auto,rigs pa gnas skabs thams cad du dri ma med par mi 'gyur te/ mthar mngon pa'i nga rgyal tu 'gyur ro// 'di,23
7,allo,rnams,1
8,auto,gzhi'i,1
9,allo,sgrub,1
10,auto,byed la,2
11,allo,gzigs,1
12,auto,so//,1
13,allo,dngos,1
14,auto,por smra ba rnams dngos por bsgrub na// chos nyid kyi rigs pas lta ba,15
15,allo,bsgrub ste// 'du shes kyi byad par,7
16,auto,du byas pa'i blos dmigs pa dang/ tshor bas khyad,10
17,allo,par du byas pa'i blo la,6
18,auto,snang,1
19,allo,ba dang/ shes rab dri ma med pa'i khyad par du byas pa'i blos rtogs,15
20,auto,pa'o// de yang so sor rtogs pa'i shes rab dang/ rnam par mi rtog pa'i shes rab bo// bya ba byed pa'i rigs pa ni// mtshan bcas bskyed pa'i r-im pa dang/ mtshan med rdzogs pa'i rim pa dang/ sa dang lam dang 'bras bu'i bya ba byed do// ltos pa'i rigs pas ni sa las dge sdig la ltos pas 'bras bu mthong ris ngan song bsgrub pa dang// bsod nams ye shes kyi tshogs la ltos pas chos sku dang zugs sku bsgrub pa'o// 'thad pa bsgrub pa'i rigs pa ni mngon sum dang// rjes su dpag pas/ chos thams cad gtan 'bebs par bsgrub pa ni/ rang gzhung bsgrub pa dang/ gzhan gzhung dgag pa'o// de yang yod par bsgrub pa dang/ yin par bsgrub pas chad pa sel te/ med pa dgag pa dang ma yin pa dgag pas rtag pa sel lo// mtha' thams cad las grol ba'i chos nyid rnam par dag pa la gzigs nas cang mi gsung/ rnam par mi gsung/ yongs su mi gsung bar bzhugs so// de'i tshe yum ral gcig mas bcom ldan 'das kyi zhal du bltas nas/ 'di skad ces gsol te/ 'jig rten sa dang lam gnas pa'i// blo rtog dpyad pas ma 'ongs pa'i// de bzhin nyid kyi ye shes ni// lus ngag yid las bya dang bral// tshogs gnyis bsags las ma byung ba'i// sems nyid rnal ma'i don 'di ni// kun gyis rtogs par dka' bas na// dbang chen bde gshegs 'dus pa 'dir// 'jig rten dregs pa dbang bsdus nas// bya ba byed pa'i las la 'khod// sangs rgyas bstan pa dar byas nas// dkon mchog gsum,275
21,allo,lam kun spyod pas// 'khor ba 'das par sbyor ba'o// ltos pa chos kyi las can 'bras// sangs rgyas mdzad pa kun bsgrub nas// dri med,26
22,auto,mngon,1
23,allo,par kun,2
24,auto,sangs,1
25,allo,rgyas// 'khor 'das kun gyi rtog bya ba'i// sems nyid 'og gsal rtsa ba can/ dngos grub log rtog gang las skyes// dug lnga ji ltar lam du blang// dbang chen,31
26,auto,spyi,1
27,allo,dril bsgom,2
28,auto,pa dang//,2
29,allo,lha,1
30,auto,yi,1
31,allo,rnam dag rdos bcas,4
32,auto,grol// gtor ma,3
33,allo,rak+ta bdud,2
34,auto,rtsi gtong// dug gsum dgra,5
35,allo,bgegs srog rtsa,3
36,auto,gcad// las bzhi'i,3
37,allo,sbyin sreg las,3
38,auto,rnams 'grub// klu gnyan sa,5
39,allo,bdag gnod pa brtag/,4
40,auto,lpags pa sha,3
41,allo,rus nad rnams gtong// thun mong,6
42,auto,dngos,1
43,allo,grub las,2
44,auto,tshogs bsgrub// lam,3
45,allo,lnga,1
46,auto,sa bcu ji ltar bgrod// rig 'dzin rnam bzhi,9
47,allo,khyad,1
48,auto,par can// sbyor ba'i yan lag rnam drug bsgom// bdag dang mtha' yas 'gro ba rnams// rje btsun 'bangs ltar bskyang du gsol// lha rjes gcong nad bsal du gsol// slob dpon shes bya bslab du gsol// dge legs las 'bras rtsal du gsol// bla mas man ngag bstan du gsol// rnal 'byor dbang phyug chen pos shod// ded dpon rin chen sbyin du gsol/ dpa' bos g.yul ngo bzlog tu gsol// yid bzhin gter chen dbyung du gsol// nyi zla'i 'od zer spro ru gsol// mun pa'i sgron me sbar du gsol// chos kyi 'khor lo bskor du gsol// 'dul ba'i dus bab bshad du gsol// zhes gsol ba btab po// de nas bcom ldan 'das kyis ye shes sgron mes chos kyi dbyings su shar ba'i dgongs pas gzigs nas 'gro ba'i ched du 'di gsungs so// smon lam las 'phro sad pa dang// lus dang skal bar ldan pa dang// dad ldan brtson 'grus che ba dang// shes rab rtogs pa ldan pa yi// sgrub po rten gyi gang zag rnams// sems nyid ma bcos rnal ma'i don// kun gyis rtogs par dka' bas na// rang bzhin gdod nas dag pa'i don// blo rab 'ga' yis rtogs par 'gyur// bskyed pa'i rim pa gsal ba yis// bsod nams tshogs chen rdzogs par 'gyur// rdzogs pa'i rim pa bzang po bsgom// ye shes tshogs mchog,227
49,allo,brnyes byed,2
50,auto,pa// rnal 'byor,3
51,allo,blo 'bring rnams,3
52,auto,kyis ni//,2
53,allo,'di,1
54,auto,la,1
55,allo,yang dag 'bad par bya// ye shes bsgrub pas 'jig rten bkol// rnal 'byor tha mas dngos grub,18
56,auto,thob//,1
57,allo,rang 'bring,2
58,auto,tha,1
59,allo,ma'i rnal 'byor la// rim par bshad kyis skal ldan nyon// zhes gsungs so// pad+ma dbang che bde gshegs spyi dril las//,22
60,auto,gleng gzhi gleng,3
61,allo,bslang rngog ma le brgan gyi le'u ste dang po'o//// de nas,12
62,auto,bcom ldan,2
63,allo,'das kyi gsungs pa// kun nas nyon mongs 'khor ba'i chos// rnam par byang pa mya ngan 'das// rtsa ba sems kyi chos nyid 'dus// sems kyi rang bzhin 'od gsal ba// ma mdzad ma bcos lhun gyis grub// byang,40
64,auto,chub chen por,3
65,allo,ye gnas pas// byed rtsol bya ba kun dang bral//,10
66,auto,sems nyid rang bzhin 'od gsal ba// rang gi ngang gis ma bcos bzhin// yongs kyi 'od gsal chen po la// sems nyid yid bzhin rin po che// khams gsum sems can,32
67,allo,ma,1
68,auto,lus pa//,2
69,allo,rang la gnas yang ma mthong ste// 'o ma mar dang 'dra bar,13
70,auto,mtshungs//,1
71,allo,de nyid mkhas ldan mar du 'byin// kye sems kyi dkyil 'khor rang bzhin gyis// 'od gsal chen por gnas pa la// rgyud ni sems can gnas pa dang// snang lam bar dor 'byung ba dang// 'bras bu rang ngo shes las zin// 'di gsum gang gis brtag 'gyur ba// gsang ba yang gsang bla na med// skal dang ldan pas thud la nyon// sems can rgyud la gnas pa ni// sgo nga'i nang gi bye'u phrug bzhin// kun gzhi gzugs med khams su snang// de nyid rtsa ba,89
72,auto,gti mug yin// yid,4
73,allo,kyi gzugs kyi khams su snang// de nyid zhe sdang rtsa ba can// sgo nga 'dod pa'i khams su snang// de yang rtsa ba,24
74,auto,'dod chags nyid// dug gsum rtsa ba byang chub sems// kun gzhi dge sdig gsog pa'i snod// rin chen sna bdun bang mdzod du// nyon mongs lnga yi byan mo ni//,31
75,allo,'khor,1
76,auto,los sgyur rgyal btsun mo yin// yid kyi kun rtsal,10
77,allo,g.yang,1
78,auto,pa ba yang nyid la// kun tu rgyu ba'i chang bas btsal// sgo lnga khye'u pho mo mdzes// kun la bskyed cing mched par byed// 'di dag gcig,28
79,allo,tu,1
80,auto,'dres pa ni// chu dang lan tshwa 'o ma'am// sgog pa chu dang lan,14
81,allo,tshwa,1
82,auto,ltar// ma 'dres yongs su rdzogs pa la// nam mkha'i 'ja' tshon bzhin du gnas//,15
83,allo,bar,1
84,auto,dor gcer bur byung ba ni// sems ni pha ma'i gos dang bral// dge sdig bag chags las kyis bsgos//,20
85,allo,sngon nas,2
86,auto,gzhan bar gnas pa yan//,5
87,allo,shi nas,2
88,auto,snang ba ldang gyur pa// gnyid log sad dang brgyal sangs ltar// nyi ma'i dkyil,15
89,allo,'khor shar gyur,3
90,auto,ba//,1
91,allo,'od,1
92,auto,kyi nus pas kun gsal byed// sems ni rang bzhin 'od gsal bas//,13
93,allo,dpag tshad bye ba'i,4
94,auto,'od kyis 'gengs// 'od gsal las kyi bag chags dbang// sngon du,12
95,allo,gang,1
96,auto,mos,1
97,allo,dbang bsgyur nas//,3
98,auto,las dbang mi,3
99,allo,gtang,1
100,auto,dran,1
101,allo,pa yis// gzungs,3
102,auto,thag kun tu 'bral,4
103,allo,med bya// sdig pa'i gzungs dang ldan pa rnams// ngan song gsum du gnas par 'gyur// zhe sdang 'dod chags gti mug dbang// dmyal ba yi dwags dud 'gros 'byung// dge,31
104,auto,ba'i rjes,2
105,allo,su,1
106,auto,'gro ba'i,2
107,allo,sems// 'dod,2
108,auto,chags,1
109,allo,mi la chags pa dang// zhe,6
110,auto,sdang lha ma yin du,5
111,allo,gnas// gti,2
112,auto,mug,1
113,allo,lha,1
114,auto,yi,1
115,allo,longs,1
116,auto,spyod,1
117,allo,ldan//,1
118,auto,de,1
119,allo,dag sgo lnga'i bag chags dbang// 'dod pa,8
120,auto,can du 'gro ba'o//,4
121,allo,yid dbang btsan sa gzugs kyi khams// 'od gsal lha,10
122,auto,yi lus dang,3
123,allo,ldan// kun gzhir 'dzin pa gzugs med pa// yi gzugs,10
124,auto,bye brag,2
125,allo,bzhi,1
126,auto,dang,1
127,allo,ldan// 'bras bu ra bas zin pa yang// sems nyid rang bzhin 'od gsal bas// yul du snang ba,19
128,auto,bem,1
129,allo,stong du// sems su snang ba rig pa stong// stong nyid rig,12
130,auto,pa'i ngo bo,3
131,allo,can// stong,2
132,auto,nyid,1
133,allo,chen,1
134,auto,po'i chos skur bzhugs// rang bzhin ma bsgribs 'od gsal ba// gzugs sku sgyu lus rnam par snang// stong nyid snying rje'i bdag nyid can// gti mug mi rtog chos,30
135,allo,kyi,1
136,auto,sku// rtog pa'i,3
137,allo,spros pa nye bar,4
138,auto,zhi//,1
139,allo,zhe sdang gsal ba longs spyod rdzogs// mun pa bral ba'i nyi ma shar// 'dod chags snying rje'i yul du snang//,21
140,auto,khams,1
141,allo,gsum 'khor ba'i sems can 'dren// sems rang bzhin gyis 'od gsal ba'i ting nge 'dzin// zhes gsungs so// dpal pad+ma dbang chen rngog ma le brgan bde gshegs spyi dril gyi rgyud las/ sems rang bzhin gyis 'od gsal ba'i le'u ste gnyis pa'o//// de nas dbang chen pad+ma'i rgyal pos gsungs pa/ rtsa ba sku gsung thugs rnams dang// spyad pa dang blang mi spang shes// bsgrub par,70
142,auto,bya ba lnga lnga pa'o// bsrung dang nyams skong skyon yon rnams// dngos grub lo tog smin pa'i sa// thams cad kun gyis bsrung bar bya// yi dam lha ni spang mi bya// rang sems spang du ga la btub// bla ma rang gi spyo bor 'khur// rgyud lung man ngag ster bar 'gyur// rdo rje ming srid chos kyi spun// 'di dang phyi mar mi,66
143,allo,'bral,1
144,auto,'grogs// ma nor rtsa,4
145,allo,ba rgyu yi sngags//,4
146,auto,skye bar,2
147,allo,byed,1
148,auto,pa,1
149,allo,rkyen,1
150,auto,gyi sngags// skul bar,4
151,allo,byed pa las,3
152,auto,kyi sngags//,2
153,allo,zhag,1
154,auto,dang,1
155,allo,zla,1
156,auto,ba lo rgyun bya// yab kyi sku ni,8
157,allo,phyag,1
158,auto,rgya che// yum dang mi 'bral,6
159,allo,dam,1
160,auto,tshig rgya// 'phro 'du las kyi phyag rgya la// chos nyid zhi ba chos kyi rgya// srog chags bsad nas zhing bcu bsgral// gzungs ma sbyar nas gsang dbang bskur// ma byin pa blangs dngos grub bsgrub// tshig btsun sngags bzlas bgegs dpung gzhom// rgyun du,46
161,allo,smras,1
162,auto,nas snod ngan gsang//,4
163,allo,'di lnga,2
164,auto,rnal 'byor,2
165,allo,bas,1
166,auto,spyad dang// snod ngan kun la gsang,7
167,allo,ba'i phyir/,2
168,auto,lus,1
169,allo,kyi,1
170,auto,brda',1
171,allo,yis,1
172,auto,dngos pos,2
173,allo,mtshon//,1
174,auto,ngag gis brda' yis smra ba dang// yid kyi brda' yis mtshon pa ni// bsgrub pa thams cad mtshon par bya// dri chen bza' dang dri chu btung// byang sems sha chen rak+ta bza'// mi rta ba glang bya khyi'i sha/ zas mchog bdud rtsi'i gtor ma yang// rak+ta 'thung zhing za ba'o// gti mug chos dbyings ye shes ni// mi rtog byol song kun gyis rtogs// zhe sdang me long ye shes ni// gsal bas tsha grang dmyal bar sbyong// 'dod chags sor rtog ye shes ni// de bas mi dang yi dwags spyod// nga rgyal mnyam nyid ye,100
175,allo,shes,1
176,auto,ni// sran tshugs lha rnams rgyud,6
177,allo,la ldan// phrag dog bya grub ye shes ni//,9
178,auto,lta,1
179,allo,ngan,1
180,auto,sel byed lha,3
181,allo,ma yin// 'di dag ye shes rnam pa lnga// mi spang rnal,12
182,auto,'byor,1
183,allo,sems dang bsre// phung po rigs lnga 'byung lnga yum// rnam,11
184,auto,shes,1
185,allo,de,1
186,auto,yul,1
187,allo,dbang po dus// yid chos nyon mongs rigs sogs rnams// thams cad ma lus rigs lngar 'dus// kun 'dus bde gshegs spyi dril nas// dbang,25
188,auto,chen pad+ma,2
189,allo,he ru ka/ rlung dang sems su 'dres pas,9
190,auto,na// rlung gi 'phro 'du ma lus,7
191,allo,pa//,1
192,auto,dbang chen pho nyas 'gugs dang 'dren// phyogs bcur bzhugs pa'i sangs rgyas dang// dus bzhir gshegs pa'i rgyal ba rnams// kun kyang rigs lnga pad+ma'i sku// rigs kyi sangs rgyas bsgrub par bya// lus kyi bya ba ma lus dang// ngag gi smra brjod thams cad dang// sems kyi bsam pa,52
193,allo,mang po rnams// don du gnyer nas bsrung bar bya'o// rtsa ba yan lag thams cad kun// nyams par gyur,20
194,auto,na,1
195,allo,gang nyams pa//,3
196,auto,gtor,1
197,allo,ma,1
198,auto,tshogs,1
199,allo,'khor lhag,2
200,auto,ma dang// sbyin sreg dag gis bskang bar bya// ma bskangs rdo rje dmyal bar 'gro// ngan song sdug bsngal bzod par dka'// ma nyams bsrung bar gang byed pa// bde sbyin yon tan bsam mi,36
201,allo,khyab// ces gsungs so//,4
202,auto,pad+ma,1
203,allo,dbang,1
204,auto,chen bde gshegs spyi dril rngog ma le brgan gyi,10
205,allo,rgyud,1
206,auto,las/ gzhi,2
207,allo,'dzin gyi le'u ste gsum pa'o//// de nas bcom ldan 'das pad+ma dbang chen gyis// rgyud lnga lam du klong la 'di gsungs so// nga ni gti mug gnyid,29
208,auto,la dga'// rmi lam lam du klong bar byed// nga ni zhe sdang lam la dga'// zhing bcu bsgral nas sgrol bar byed// nga,24
209,allo,ni,1
210,auto,nga rgyal ri bo che// lta ba mtho la ting 'dzin gsal// nga ni 'dod chags,16
211,allo,chos la dga'// yum la sbyor zhing gsang dbang bskur// nga ni kun la,14
212,auto,phrag dog,2
213,allo,pas// lta,2
214,auto,ngan thams cad mi shong,5
215,allo,ngo// gzhi,2
216,auto,dang,1
217,allo,rgyu dang,2
218,auto,lam dang,2
219,allo,ni// 'bras bu,3
220,auto,nyid ni khyed,3
221,allo,la bshad// gti,3
222,auto,mug,1
223,allo,gti mug ces bya ba//,5
224,auto,ma rig ma shes,4
225,allo,ma,1
226,auto,go'o//,1
227,allo,kun nas snang ba,4
228,auto,snang,1
229,allo,ba yang// mi rtog don la,6
230,auto,gnas par,2
231,allo,bya// gnyid,2
232,auto,dang 'dra ba'i mi rtog med// khams gsum 'khor,9
233,allo,ba'i sems can rnams// mi rtog,6
234,auto,'dod na gnyid 'di log/ rtog,6
235,allo,mi,1
236,auto,mnyam,1
237,allo,nyid sgyu ma ltos// dgug dang log dang byang ba dang// 'byongs na chos,14
238,auto,rnams,1
239,allo,rmi lam nyid//,3
240,auto,ma rig mun pa sha chang drod// ngal dub drag pos 'byung,12
241,allo,bzhi,1
242,auto,'dus// dpral bar,3
243,allo,pad+ma,1
