Word_Index,Word,Prediction,Label_Name,Mode,Is_Switch,Confidence,Segment_ID,Paragraph,Model
0,brjod,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
1,kyang,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
2,gzhan,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
3,gyis,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
4,rtog,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
5,mi,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
6,‘gyur,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
7,|,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
8,|,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
9,rang,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
10,rang,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
11,gi,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
12,blo,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
13,kho,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
14,na,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
15,dang,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
16,‘brel,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
17,na,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
18,rang,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
19,rig,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
20,pa,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
21,bzhin,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
22,du,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
